name,category,description,github_link,date_published,category_name,link_to_screenshot,link_to_source
Pikachu,Graphics Design,Fan-art of Pikachu,,12-05-19,graphics,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/13e13e7e-1573-4854-ba64-70cc6f88a07c/dd6q1pl-145292d6-f0f8-41e2-bda1-0f7e91bb8bfa.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOiIsImlzcyI6InVybjphcHA6Iiwib2JqIjpbW3sicGF0aCI6IlwvZlwvMTNlMTNlN2UtMTU3My00ODU0LWJhNjQtNzBjYzZmODhhMDdjXC9kZDZxMXBsLTE0NTI5MmQ2LWYwZjgtNDFlMi1iZGExLTBmN2U5MWJiOGJmYS5qcGcifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6ZmlsZS5kb3dubG9hZCJdfQ.LFPHmuUJ2wTC7q_Kj9uPwsLjiQXiZZ0LzD7N5sm6928,https://www.deviantart.com/tajwarscribbles/art/Pikachu-797353257
Lucario,Graphics Design,Fan-art of Lucario,,12-05-19,graphics,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/13e13e7e-1573-4854-ba64-70cc6f88a07c/dd6q1tw-6779cdb1-5572-4a0b-b845-bac259e9d192.png/v1/fill/w_1280,h_1811,q_80,strp/lucario_by_tajwarscribbles_dd6q1tw-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOiIsImlzcyI6InVybjphcHA6Iiwib2JqIjpbW3sicGF0aCI6IlwvZlwvMTNlMTNlN2UtMTU3My00ODU0LWJhNjQtNzBjYzZmODhhMDdjXC9kZDZxMXR3LTY3NzljZGIxLTU1NzItNGEwYi1iODQ1LWJhYzI1OWU5ZDE5Mi5wbmciLCJoZWlnaHQiOiI8PTE4MTEiLCJ3aWR0aCI6Ijw9MTI4MCJ9XV0sImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS53YXRlcm1hcmsiXSwid21rIjp7InBhdGgiOiJcL3dtXC8xM2UxM2U3ZS0xNTczLTQ4NTQtYmE2NC03MGNjNmY4OGEwN2NcL3RhandhcnNjcmliYmxlcy00LnBuZyIsIm9wYWNpdHkiOjk1LCJwcm9wb3J0aW9ucyI6MC40NSwiZ3Jhdml0eSI6ImNlbnRlciJ9fQ.xo5UpfOR7E01ybDmRZBB8Az8oFas6gkZ3ypsZMvNOzE",https://www.deviantart.com/tajwarscribbles/art/Lucario-797353412
Shadow Mewtwo,Graphics Design,Fan-art of Mewtwo,,04-04-19,graphics,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/13e13e7e-1573-4854-ba64-70cc6f88a07c/dd3s70r-957a50a5-326a-423c-bb1f-284a9eeeb083.png/v1/fill/w_1280,h_1811,q_80,strp/shadow_mewtwo_by_tajwarscribbles_dd3s70r-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOiIsImlzcyI6InVybjphcHA6Iiwib2JqIjpbW3siaGVpZ2h0IjoiPD0xODExIiwicGF0aCI6IlwvZlwvMTNlMTNlN2UtMTU3My00ODU0LWJhNjQtNzBjYzZmODhhMDdjXC9kZDNzNzByLTk1N2E1MGE1LTMyNmEtNDIzYy1iYjFmLTI4NGE5ZWVlYjA4My5wbmciLCJ3aWR0aCI6Ijw9MTI4MCJ9XV0sImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS5vcGVyYXRpb25zIl19.Z1ToWS5oi-43mV9xIKtAcrvDvYt3P32x150hnGBbYN4",https://www.deviantart.com/tajwarscribbles/art/Shadow-Mewtwo-792414603
Jolteon,Graphics Design,Fan-art of Jolteon,,03-04-19,graphics,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/13e13e7e-1573-4854-ba64-70cc6f88a07c/dd3pmz7-4475d7b7-da9a-402a-808d-0fde444fbb99.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOiIsImlzcyI6InVybjphcHA6Iiwib2JqIjpbW3sicGF0aCI6IlwvZlwvMTNlMTNlN2UtMTU3My00ODU0LWJhNjQtNzBjYzZmODhhMDdjXC9kZDNwbXo3LTQ0NzVkN2I3LWRhOWEtNDAyYS04MDhkLTBmZGU0NDRmYmI5OS5qcGcifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6ZmlsZS5kb3dubG9hZCJdfQ.EfTQFEOPsHVwBGkjWWtVJmM3Cz5BxTvEFUHkcciGr4g,https://www.deviantart.com/tajwarscribbles/art/Jolteon-792295315
Vegeta,Graphics Design,Fan-art of Engineer Vegeta,,02-04-19,graphics,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/13e13e7e-1573-4854-ba64-70cc6f88a07c/dd3ml7o-68edb323-a191-4645-87be-7427a47ccdea.jpg/v1/fill/w_1920,h_2880,q_75,strp/vegeta_megawatts_by_tajwarscribbles_dd3ml7o-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOiIsImlzcyI6InVybjphcHA6Iiwib2JqIjpbW3siaGVpZ2h0IjoiPD0yODgwIiwicGF0aCI6IlwvZlwvMTNlMTNlN2UtMTU3My00ODU0LWJhNjQtNzBjYzZmODhhMDdjXC9kZDNtbDdvLTY4ZWRiMzIzLWExOTEtNDY0NS04N2JlLTc0MjdhNDdjY2RlYS5qcGciLCJ3aWR0aCI6Ijw9MTkyMCJ9XV0sImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS5vcGVyYXRpb25zIl19.kcByCyNogP0QgenhE8acEycZL_2hOnqtaIIqWdtUO-E",https://www.deviantart.com/tajwarscribbles/art/Vegeta-Megawatts-792153060
Mewtwo,Graphics Design,Fan-art of Mewtwo,,02-04-19,graphics,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/13e13e7e-1573-4854-ba64-70cc6f88a07c/dd3n4yj-199aae1a-7641-4a18-b946-c1356f53ef7d.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOiIsImlzcyI6InVybjphcHA6Iiwib2JqIjpbW3sicGF0aCI6IlwvZlwvMTNlMTNlN2UtMTU3My00ODU0LWJhNjQtNzBjYzZmODhhMDdjXC9kZDNuNHlqLTE5OWFhZTFhLTc2NDEtNGExOC1iOTQ2LWMxMzU2ZjUzZWY3ZC5qcGcifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6ZmlsZS5kb3dubG9hZCJdfQ.fap5-8zkLHUvp5fQ3wyoo0espJRpWA1BmmfvohyH-is,https://www.deviantart.com/tajwarscribbles/art/Mewtwo-792178651
Ghost Recon Wildlands,Game Review,Game Review written for New Age Youth,,12-03-17,article,../Assets/Articles/Game Reviews/regular_24231_news_1489256018.jpg,../Assets/Articles/Game Reviews/regular_24231_news_1489256018.jpg
Halo Wars 2,Game Review,Game Review written for New Age Youth,,05-03-17,article,../Assets/Articles/Game Reviews/regular_24082_news_1488642959.jpg,../Assets/Articles/Game Reviews/regular_24082_news_1488642959.jpg
Nioh,Game Review,Game Review written for New Age Youth,,26-02-17,article,../Assets/Articles/Game Reviews/regular_23937_news_1488041256.jpg,../Assets/Articles/Game Reviews/regular_23937_news_1488041256.jpg
The Lego Batman,Game Review,Game Review written for New Age Youth,,19-02-17,article,../Assets/Articles/Game Reviews/regular_23779_news_1487431241.jpg,../Assets/Articles/Game Reviews/regular_23779_news_1487431241.jpg
Fire Emblem Heroes,Game Review,Game Review written for New Age Youth,,12-02-17,article,../Assets/Articles/Game Reviews/regular_23629_news_1486834103.jpg,../Assets/Articles/Game Reviews/regular_23629_news_1486834103.jpg
Pokemon Duel,Game Review,Game Review written for New Age Youth,,05-02-17,article,../Assets/Articles/Game Reviews/regular_23489_news_1486228194.jpg,../Assets/Articles/Game Reviews/regular_23489_news_1486228194.jpg
Super Mario Run,Game Review,Game Review written for New Age Youth,,29-01-17,article,../Assets/Articles/Game Reviews/regular_23328_news_1485619372.jpg,../Assets/Articles/Game Reviews/regular_23328_news_1485619372.jpg
Gravity Rush 2,Game Review,Game Review written for New Age Youth,,22-01-17,article,../Assets/Articles/Game Reviews/regular_23183_news_1485025011.jpg,../Assets/Articles/Game Reviews/regular_23183_news_1485025011.jpg
Final Fantasy XV,Game Review,Game Review written for New Age Youth,,15-01-17,article,../Assets/Articles/Game Reviews/regular_23024_news_1484426285.jpg,../Assets/Articles/Game Reviews/regular_23024_news_1484426285.jpg
Shadow Tactics: Blades of the Shogun,Game Review,Game Review written for New Age Youth,,08-01-17,article,../Assets/Articles/Game Reviews/regular_22864_news_1483804268.jpg,../Assets/Articles/Game Reviews/regular_22864_news_1483804268.jpg
Batman: The Telltale Series,Game Review,Game Review written for New Age Youth,,01-01-17,article,../Assets/Articles/Game Reviews/regular_22812_news_1483635202.jpg,../Assets/Articles/Game Reviews/regular_22812_news_1483635202.jpg
IEEE R10 Spave,News,News Article written for New Age Youth about IEEE SPAVE 2016 hosted by IEEE AIUB Student Branch,,01-01-17,article,../Assets/Articles/News/regular_22816_news_1483635380.jpg,
Pokemon GO Review,Game Review (Archieved),Game Review written for New Age Youth,,25-12-16,article,,
Steep,Game Review,Game Review written for New Age Youth,,18-12-16,article,../Assets/Articles/Game Reviews/regular_22411_news_1481994039.jpg,../Assets/Articles/Game Reviews/regular_22411_news_1481994039.jpg
The Trail,Game Review,Game Review written for New Age Youth,,11-12-16,article,../Assets/Articles/Game Reviews/regular_22290_news_1481400299.jpg,../Assets/Articles/Game Reviews/regular_22290_news_1481400299.jpg
Seventh Generation of Pokemon,Game Review (Archieved),Game Review written for New Age Youth,,04-12-16,article,,
Watchdogs 2,Game Review,Game Review written for New Age Youth,,27-11-16,article,../Assets/Articles/Game Reviews/regular_21938_news_1480161750.jpg,../Assets/Articles/Game Reviews/regular_21938_news_1480161750.jpg
Lacklustre call,Game Review (Archieved),Game Review written for New Age Youth,,20-11-16,article,,
Titanfall 2,Game Review,Game Review written for New Age Youth,,13-11-16,article,../Assets/Articles/Game Reviews/regular_21645_news_1478972885.jpg,../Assets/Articles/Game Reviews/regular_21645_news_1478972885.jpg
Battlefield 1,Game Review,Game Review written for New Age Youth,,06-11-16,article,../Assets/Articles/Game Reviews/regular_21503_news_1478362904.jpg,../Assets/Articles/Game Reviews/regular_21503_news_1478362904.jpg
Strengthing non-technical skills of engineering students,News,News Article written for New Age Youth about IEEE SPAC 2016 hosted by IEEE UIU Student Branch,,06-11-16,article,../Assets/Articles/News/regular_21507_news_1478363175.jpg,
Gears of War 4,Game Review,Game Review written for New Age Youth,,30-10-16,article,../Assets/Articles/Game Reviews/regular_21350_news_1477757061.jpg,../Assets/Articles/Game Reviews/regular_21350_news_1477757061.jpg
Almost Great,Game Review (Archieved),Game Review written for New Age Youth,,23-10-16,article,,
IEEE holds annual meeting at BUET,News (Archieved),News Article written for New Age Youth about IEEE Bangladesh Section Annual Meeting held by IEEE BUET Student Branch,,23-10-16,article,,
FIFA 17 delivers a masterstroke,Game Review (Archieved),Game Review written for New Age Youth,,16-10-16,article,,
IEEE Day Celebrated at AIUB,News (Archieved),News Article written for New Age Youth about IEEE Day celebrated by IEEE AIUB Student Branch.,,10-10-16,article,,
Setting the bar higher,Game Review (Archieved),Archieved Game Review written for New Age Youth (FYI),,10-10-16,article,,
ReCore,Game Review,Game Review written for New Age Youth,,02-10-16,article,../Assets/Articles/Game Reviews/regular_20711_news_1475350979.jpg,../Assets/Articles/Game Reviews/regular_20711_news_1475350979.jpg
Bangladeshi students shine in India,News (Archieved),"Archieved News article written for New Age Youth. The article was about IEEE Bangladesh Section receiving numerous awards from a congress in India. Published: September 25, 2016",,25-09-16,article,,
Bolt away,Game Review (Archieved),Archieved Game Review written for New Age Youth (FYI),,11-09-16,article,,
Saving mankind,Game Review (Archieved),Archieved Game Review written for New Age Youth (FYI),,04-09-16,article,,
Soothing delight,Game Review (Archieved),Archieved Game Review written for New Age Youth (FYI),,28-08-16,article,,
Nostalgic adventure,Game Review (Archieved),Archieved Game Review written for New Age Youth (FYI),,21-08-16,article,,
One of the best of the decade!,Game Review (Archieved),Archieved Game Review written for New Age Youth (FYI),,14-08-16,article,,
The force is strong with this one,Game Review (Archieved),Archieved Game Review written for New Age Youth (FYI),,07-08-16,article,,
Fight your demons the Iron Maiden way,Game Review (Archieved),Archieved Game Review written for New Age Youth (FYI),,31-07-16,article,,
"Big aim, big disappointment",Game Review (Archieved),Archieved Game Review written for New Age Youth (FYI),,03-07-16,article,,
Parkour your way out of trouble,Game Review (Archieved),Archieved Game Review written for New Age Youth (FYI),,19-06-16,article,,
No-brainer fun,Game Review (Archieved),Archieved Game Review written for New Age Youth (FYI),,05-06-16,article,,
Adventures of Nathan Drake,Game Review (Archieved),Archieved Game Review written for New Age Youth (FYI),,22-05-16,article,,
The next big assault game?,Game Review (Archieved),Archieved Game Review written for New Age Youth (FYI),,15-05-16,article,,
Angry players?,Game Review (Archieved),Archieved Game Review written for New Age Youth (FYI),,08-05-16,article,,
Change is the only constant!,Game Review (Archieved),Archieved Game Review written for New Age Youth (FYI),,01-05-16,article,,
Not For The Fainthearted!,Game Review (Archieved),Archieved Game Review written for New Age Youth (FYI),,24-04-16,article,,
